Unnamed: 0.1,Unnamed: 0,date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,result,pom,best_batters,best_bowlers,commentary_line,world_cup_year,host_country
15,2,2023-10-07, Dharamsala,League-Match,AFG,BAN,156.0,0.0,158.0,4.0,Bangladesh won by 6 wickets (with 92 balls remaining),Mehidy Hasan Miraz,"['Najmul Hossain Shanto - 59 runs ', 'Mehidy Hasan Miraz - 57 runs ']","['Mehidy Hasan Miraz - 3', 'Shakib Al Hasan - 3']",Mehidy Hasan: It's a great moment for me. I did a lot of hard work in the past. The team management deserves credit. I was a little bit cautious in my mind early on while bowling but the captain told me to bowl at the right areas and told me to be consistent and that gave me confidence so credit goes to the captain. (on batting) I go for ball by ball and how to get better on this surface. The wicket was turning a little bit but I tried to stay (on the crease). I always play at number 8 so it was a great opportunity to bat in the top order. I always have the hungriness so definitely it's a great moment for me to perform.,2023,India
16,22,2023-10-24, Wankhede,League-Match,SA,BAN,382.0,5.0,233.0,0.0,South Africa won by 149 runs,Quinton de Kock,"['Q de Kock - 174 runs ', 'Mahmudullah - 111 runs ']","['G Coetzee - 3', 'K Rabada - 2']","Quinton de Kock is Player of the Match for his 174 off 140: ""I was a bit more tired than satisfied. Great day out, everyone played their part. Nice to get points on the board. [Change of WC fortunes?] Not too sure, first time inexperience... it's just happening, I guess. [150th cap] I was a bit nervous this morning, don't normally get nervous at all. Had a bit of fun, great to get two points. [Klaasen] Been amazing, I need some of the juice he's having. He's been special, for every team he's played for. Taking the tournament by storm.""",2023,India
17,33,2023-11-03, Lucknow,League-Match,NED,AFG,179.0,0.0,181.0,3.0,Afghanistan won by 7 wickets (with 111 balls remaining),Mohammad Nabi,"['SA Engelbrecht - 58 runs ', 'Hashmatullah Shahidi - 56 runs ']","['Mohammad Nabi - 3', 'Noor Ahmad - 2']","Mohammad Nabi, Player of the Match: (On how well he is bowling) Just focussing on my lines and lengths. Focussing on dot balls. I always try to concentrate on my lines and lengths, and variations. I try to stick to my plans and use the angles. In some pitches, the variation is more, that is sometimes why I get more wickets. I focus on dot balls and that is how I control my economy rate. (On what keeps him going) Still working on my fitness, working on my rehab, proper diets. It is working (smiles).",2023,India
18,31,2023-11-01, Pune,League-Match,SA,NZ,357.0,4.0,167.0,0.0,South Africa won by 190 runs,Rassie van der Dussen,"['HE van der Dussen - 133 runs ', 'Q de Kock - 114 runs ']","['KA Maharaj - 4', 'M Jansen - 3']","Temba Bavuma: Clinical display with bat. Handled the challenge with the ball nipping around. We applied pressure with the ball. We tried to pounce on bad balls, Quinny started slowly, hung in there and cashed in at the end. More than the score, we were trying to stay in till 30 and go big later on. We were always looking to dominate with the new ball and middle overs. Knew they'd come hard at us and we'd get opportunities. Gotta hear the permutations about making the semi. After tomorrow, it's back to business, gotta prepare for the next game.",2023,India
20,47,2023-11-19, Ahmedabad,Final,IND,AUS,240.0,0.0,241.0,4.0,Australia won by 6 wickets (with 42 balls remaining),Travis Head,"['TM Head - 137 runs ', 'KL Rahul - 66 runs ']","['MA Starc - 3', 'PJ Cummins - 2']","Cummins: I think we saved our best for the last. A couple of big-match players stepped up and chuffed. Today we thought it was a good night to chase and thought it would be easier to chase. The pitch was slower than I thought and didn't particularly spin and we bowled tight lines. On a slow wicket with variable bounce, we had a couple of catchers on the leg side and made a couple of decisions. Desperate for sure. The boys were fantastic against South Africa. We have an ageing side but everyone throws themselves around. Chuffed with keeping them to 240 - anything under 300 really. I was one of those blokes with the hearts fluttering but Head takes the game on, Marnus... I think the selectors backed him even when he had a broken hand. It's a big risk and it paid off. How fun is he to watch? It was awesome to play and the passion in India is unrivaled. You just got to go and win a World Cup. You can't wait for it. It was a shift after two games. The openers were really aggressive and it was a total buy-in from everyone. We will remember this year for a long, long time. This pips it all.",2023,India
21,16,2023-10-19, Pune,League-Match,BAN,IND,256.0,8.0,261.0,3.0,India won by 7 wickets (with 51 balls remaining),Virat Kohli,"['V Kohli - 103 runs ', 'Litton Das - 66 runs ']","['RA Jadeja - 2', 'JJ Bumrah - 2']","Virat Kohli, Player of the Match: Sorry for stealing it (the player of the Match award) from Jaddu. I wanted to make a big contribution. Have made fifties in World Cups, wanted to finish it off this time. (Free hits to start off) I was telling Shubman that even if you dream about this situation, you go back to sleep. It was a dream start. It just calms you down. The pitch was good, allowed me to play my game - hit the gaps and find the boundaries whenever I could. Great atmosphere in the dressing room. The spirit is there for everyone to see. You need to create some momentum in the changing room to come out and play like this. Special feeling to play in front of such crowds.",2023,India
22,12,2023-10-15, Delhi,League-Match,AFG,ENG,284.0,0.0,215.0,0.0,Afghanistan won by 69 runs,Mujeeb Ur Rahman,"['Rahmanullah Gurbaz - 80 runs ', 'HC Brook - 66 runs ']","['Rashid Khan - 3', 'AU Rashid - 3']","Mujeeb Ur Rahman, Player of the Match: Very proud moment to be here at the World Cup and beating the champions. Great achievement for the whole team and this is the kind of opportunity we have been working hard for. Wonderful performances by the bowlers and the batters. (On his responsibility with the new ball) As a spinner, it is pretty hard to bowl in the powerplay. But I have been working in the nets. There is not much room for error to bowl wide so I have tried to bowl wicket-to-wicket. We knew that dew will play some part and that is why I wanted to bowl in the powerplay. The ball was holding a little bit as well. Even if there was dew, I was mentally prepared. Not to give much room and bowl in the right areas. (On the batting) It is all about the management. They have been giving me confidence. I want to contribute as a lower-order batter as well, and those 25-30 runs helps the team as well. I want to continue doing that. I want to dedicate this award to the people back home, who have been affected by the earthquake. This is something we could do as a team and I could do myself as a player.",2023,India
24,30,2023-10-31, Eden Gardens,League-Match,BAN,PAK,204.0,0.0,205.0,3.0,Pakistan won by 7 wickets (with 105 balls remaining),Fakhar Zaman,"['Fakhar Zaman - 81 runs ', 'Abdullah Shafique - 68 runs ']","['Shaheen Shah Afridi - 3', 'Mohammad Wasim - 3']","Babar Azam: Credit to the boys, the way they played in all three departments. We know how well Fakhar plays when he's going. Good to see him do it. We are trying to win our remaining matches and see where we stand. This win hopefully gives confidence in the coming matches. Shaheen started well with the ball. After 15-20 overs, they built a partnership. But our main bowlers struck. Main thing was our bowlers hit good lengths and took wickets. Thanks to the fans for supporting me and my team.",2023,India
25,25,2023-10-27, Chennai,League-Match,PAK,SA,270.0,0.0,271.0,9.0,South Africa won by 1 wicket (with 16 balls remaining),Tabraiz Shamsi,"['AK Markram - 91 runs ', 'Saud Shakeel - 52 runs ']","['T Shamsi - 4', 'Shaheen Shah Afridi - 3']","Temba Bavuma, South Africa Captain: It's a bit chaos at the moment, guys enjoying it, Guys picking up Shamsi. Nail-biting finish, if you are a South African fan, you are a little bit happier, we haven't done well in chasing, it will be easier to have those conversations now. I think obviously we have a blueprint, batting first, we have shown, we can't say with conviction we have the blueprint while chasing but we will have the conversations. We obviosuly want to show more clinical display with the bat. (Rabada) is good, he is experiencing lower back spasm, I am sure he will come into contention for New Zealand game. Ecstatic for Shamsi, He came in favourable conditions and exploited it and then with the bat I think you've seen Shamsi on social media gloating about his batting, we needed that today and fortunately for us he came through.",2023,India
28,9,2023-10-12, Lucknow,League-Match,SA,AUS,311.0,7.0,177.0,0.0,South Africa won by 134 runs,Quinton de Kock,"['Q de Kock - 109 runs ', 'AK Markram - 56 runs ']","['K Rabada - 3', 'KA Maharaj - 2']","Temba Bavuma ""311 was a couple over par, 290-300 was par, glad to lose to the toss cos things worked out in our favour. I was scratching around so Quinton needs to be credited a lot. I'd be really greedy if I said there were areas to improve, a near-perfect game with the bat, and with the ball, looking at all the phases, the guys dominated and showed their skills. Got to acknowledge the batting effort, being over-par, and we were clinical with the new ball, then KG following up with intensity, then the spinners. Character is the biggest thing we talk about, and we showed it today. Let's enjoy the individual performances, then come back tomorrow and find ways to get better and better as a team.""",2023,India
30,39,2023-11-08, Pune,League-Match,ENG,NED,339.0,9.0,179.0,0.0,England won by 160 runs,Ben Stokes,"['BA Stokes - 108 runs ', 'DJ Malan - 87 runs ']","['MM Ali - 3', 'AU Rashid - 3']","Zaid: ""congrats to England but this is really worrying as a Pakistani fan""",2023,India
32,4,2023-10-08, Chennai,League-Match,AUS,IND,199.0,0.0,201.0,4.0,India won by 6 wickets (with 52 balls remaining),KL Rahul,"['KL Rahul - 97 runs ', 'V Kohli - 85 runs ']","['RA Jadeja - 3', 'JR Hazlewood - 3']","That is all from Chepauk, ladies and gentlemen. A topsy-turvy ODI that will go down as one of India's better wins. Australia have a lot to think about. See you tomorrow for more ODI World Cup action.",2023,India
33,10,2023-10-13, Chennai,League-Match,BAN,NZ,245.0,9.0,248.0,2.0,New Zealand won by 8 wickets (with 43 balls remaining),Lockie Ferguson,"['DJ Mitchell - 89 runs ', 'KS Williamson - 78 runs ']","['LH Ferguson - 3', 'TA Boult - 2']","Time to hear from the captains. First up it's Najmul Shanto in place of the injured Shakib Al Hasan: ""Shakib has gone for a scan after that we'll know more. We didn't bat well, same as the last match. We need to improve in the first 15 overs. There was a bit of extra bounce with the new ball but after that the wicket was quite. The top order needs to bat more responsibly. It was a good wicket, so we just needed to be a bit more responsible at the start. Last match we didn't bowl well but today everyone showed their character. If they continue like this it will be very good going forward. The biggest improvement is our fast bowling, if we bat well in the next few games it will be a different ball game.""",2023,India
34,28,2023-10-29, Lucknow,League-Match,IND,ENG,229.0,9.0,129.0,0.0,India won by 100 runs,Rohit Sharma,"['RG Sharma - 87 runs ', 'SA Yadav - 49 runs ']","['Mohammed Shami - 4', 'DJ Willey - 3']","So, India stay unbeaten - six wins in as many games now. And they have regained the top spot as well. England, meanwhile, stay rooted to the bottom. That's all from our side for this game. See you tomorrow.",2023,India
36,24,2023-10-26, Bengaluru,League-Match,ENG,SL,156.0,0.0,160.0,2.0,Sri Lanka won by 8 wickets (with 146 balls remaining),Lahiru Kumara,"['P Nissanka - 77 runs ', 'S Samarawickrama - 65 runs ']","['CBRLS Kumara - 3', 'AD Mathews - 2']","Jos Buttler: ""It's been an incredibly tough and incredibly disappointing tournament. Disappointed in myself and all the boys that we haven't shown a good account of ourselves. There's no clear answer at the moment [as to why that's the case]. Can't really fault the boys efforts but we're playing a long way short of our best. It starts from the front, as Captain you want to lead from the front and play well and I've been a long way short of my best. [Confidence drained away?] Not really to be honest, there are a lot of experienced cricketers in the room, who've been through a lot - confident people. You don't become a bad player overnight, you don't become a bad team over night. I think that's probably the biggest frustration, that we've been so far short of our best, and for no obvious reason. Just can't put my finger on it at the moment. [uncertainty over strategy?] Selection is something you want to be consistent, build that trust. But selection isn't a problem at the moment, performance is. Whoever has been on the field so far has been short of the standards we set ourselves. The kind of mistakes we're all making, you don't see that usually. We haven't been doing the basic things well. [What to cling to?] The biggest thing is personal pride, whatever happens in the rest of the tournament we want to give a good account of ourselves going forward..""",2023,India
38,17,2023-10-20, Bengaluru,League-Match,AUS,PAK,367.0,9.0,305.0,0.0,Australia won by 62 runs,David Warner,"['DA Warner - 163 runs ', 'MR Marsh - 121 runs ']","['Shaheen Shah Afridi - 5', 'A Zampa - 4']","Shalabh: ""Historically ODIs have rarely been close contested. Maybe it is perpetual T20 hangover which forces to expect close contest every time.""",2023,India
39,13,2023-10-16, Lucknow,League-Match,SL,AUS,209.0,0.0,215.0,5.0,Australia won by 5 wickets (with 88 balls remaining),Adam Zampa,"['MDKJ Perera - 78 runs ', 'P Nissanka - 61 runs ']","['A Zampa - 4', 'D Madushanka - 3']","Cummins: Yeah, happy today. It was probably that nothing was said and it was just on the back of two losses...The energy in the field was nice to start with and everything else flowed. Again, they started really well but the way all the bowlers came in, hit the wicket, and did their job, it was a great effort. I can't read these wickets. About 300 [would've been par] maybe. Outside noise doesn't bother us too much. I hope so, all parts of the game came together at the end. We're sort of underway in the tournament and hope we keep it up.",2023,India
40,21,2023-10-23, Chennai,League-Match,PAK,AFG,282.0,7.0,286.0,2.0,Afghanistan won by 8 wickets (with 6 balls remaining),Ibrahim Zadran,"['Ibrahim Zadran - 87 runs ', 'Rahmat Shah - 77 runs ']","['Noor Ahmad - 3', 'Naveen-ul-Haq - 2']","Nishant: ""Babar looks shocked and short of words""",2023,India
42,5,2023-10-09, Hyderabad,League-Match,NZ,NED,322.0,7.0,223.0,0.0,New Zealand won by 99 runs,Mitchell Santner,"['WA Young - 70 runs ', 'CN Ackermann - 69 runs ']","['MJ Santner - 5', 'MJ Henry - 3']","Scott Edwards: New Zealand have got a quality bowling attack. You are not going to chase down 320 with 40s and 50s...we needed to bigger partnerships. We will speak about that with the boys. There's definitely going to be some positives; we need to rectify our errors in the next seven games. For us, it's another game and we'll play our best game and try to win (on next game)",2023,India
46,40,2023-11-09, Bengaluru,League-Match,SL,NZ,171.0,0.0,172.0,5.0,New Zealand won by 5 wickets (with 160 balls remaining),Trent Boult,"['MDKJ Perera - 51 runs ', 'DP Conway - 45 runs ']","['TA Boult - 3', 'MJ Santner - 2']",8:03pm Time to hear from the captains.,2023,India
47,1,2023-10-06, Hyderabad,League-Match,PAK,NED,286.0,0.0,205.0,0.0,Pakistan won by 81 runs,Saud Shakeel,"['Saud Shakeel - 68 runs ', 'Mohammad Rizwan - 68 runs ']","['BFW de Leede - 4', 'Haris Rauf - 3']","Scott Edwards, Netherlands captain: It's a bit disappointing. Firstly, we bowled and fielded well. We thought they were par. We thought we had a good chance at 2 for 120. Probably a bit of instinct. So many of our bats bowl spin. De Leede is a quality cricket in all three departments. His innings was awesome, just needed someone to be with him. Not spoken to van Beek, need to see where he's at. This is a game that got away. We know they have quality bowlers but they took wickets which held us back.",2023,India
49,6,2023-10-10, Dharamsala,League-Match,ENG,BAN,364.0,9.0,227.0,0.0,England won by 137 runs,Dawid Malan,"['DJ Malan - 140 runs ', 'JE Root - 82 runs ']","['RJW Topley - 4', 'Mahedi Hasan - 4']","Afeef: ""Eng have a positive NRR now. That's good, they've neutralised the thumping they got in the previous match.""",2023,India
